beta	B	<H>	sigma(h)	err(H)	tau_H	<M>	sigma(M)	err(M)	tau_M
1.000000e-01	0.000000e+00	-2.033326e+03	1.452244e+02	1.793088e+00	3.048979e+00	1.921000e-01	1.252630e+02	1.234885e-01	1.943737e-02
3.000000e-01	0.000000e+00	-7.045414e+03	1.801404e+02	1.432616e+00	1.264932e+00	4.279000e+00	2.708019e+02	2.402542e+00	1.574232e+00
5.000000e-01	0.000000e+00	-1.745642e+04	1.701576e+02	1.463319e+00	1.479126e+00	9.114908e+03	8.680117e+01	9.930489e-01	2.617701e+00
7.000000e-01	0.000000e+00	-1.963765e+04	5.653435e+01	2.888024e-01	5.219233e-01	-9.901592e+03	1.655548e+01	8.726510e-02	5.556838e-01
1.000000e-01	1.000000e-02	-2.033536e+03	1.449249e+02	1.724576e+00	2.832098e+00	1.564735e+01	1.250370e+02	1.697805e-01	3.687473e-02
3.000000e-01	1.000000e-02	-7.051374e+03	1.772086e+02	1.354687e+00	1.168794e+00	2.141007e+02	2.698715e+02	2.386432e+00	1.563918e+00
5.000000e-01	1.000000e-02	-1.760917e+04	1.672627e+02	1.383850e+00	1.369020e+00	9.148786e+03	8.133564e+01	8.659228e-01	2.266870e+00
7.000000e-01	1.000000e-02	-1.974342e+04	5.639097e+01	2.841870e-01	5.079482e-01	9.903616e+03	1.637058e+01	8.491183e-02	5.380694e-01
1.000000e-01	3.000000e-02	-2.039614e+03	1.462402e+02	1.765345e+00	2.914441e+00	4.703740e+01	1.264002e+02	9.406036e-02	1.107510e-02
3.000000e-01	3.000000e-02	-7.102695e+03	1.811018e+02	1.370976e+00	1.146157e+00	6.469489e+02	2.689600e+02	2.416033e+00	1.613839e+00
5.000000e-01	3.000000e-02	-1.790637e+04	1.619907e+02	1.261694e+00	1.213272e+00	9.207352e+03	7.261072e+01	6.770945e-01	1.739110e+00
7.000000e-01	3.000000e-02	-1.995407e+04	5.586138e+01	2.808482e-01	5.055335e-01	9.907308e+03	1.597713e+01	8.216310e-02	5.289154e-01
